Time,tavolaRotante.posizioneAttuale,braccioSx.posizioneAttuale,braccioDx.posizioneAttuale,tavolaRotante.acceso,tavolaRotante.referenziato,tavolaRotante.inPos1,tavolaRotante.inPos2,braccioSx.asseAcceso,braccioSx.asseReferenziato,braccioSx.pinzaAperta,braccioSx.pinzaChiusa,braccioSx.inPosAlta,braccioSx.inPosBassa,braccioDx.asseAcceso,braccioDx.asseReferenziato,braccioDx.pinzaAperta,braccioDx.pinzaChiusa,braccioDx.inPosAlta,braccioDx.inPosBassa,start
2024-04-24T08:24:38.1611286Z,269.999,5,0,true,true,true,false,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:39.1612376Z,3.6990000000000003,5,0,true,true,false,false,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:40.1612718Z,90.087,5,0,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:41.1611946Z,90,5,0,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:42.1612167Z,90,5,0,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:43.1612460Z,90,5,0,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:44.1613288Z,90,5,0,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:45.1612554Z,90,5,94.199,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:24:46.1612499Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:24:47.1613249Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:24:48.1610336Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,false,false,true,true
2024-04-24T08:24:49.1614376Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:24:50.1611503Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:24:51.1612903Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:24:52.1613111Z,90,5,6.207,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,false,true
2024-04-24T08:24:53.1613867Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:24:54.1613078Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:24:55.1611007Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:24:56.1613643Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:24:57.1610306Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:24:58.1611436Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:24:59.1613664Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:25:00.1612762Z,90,5,98.792,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,false,true
2024-04-24T08:25:01.1612258Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:25:02.1613133Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:25:03.1612203Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,false,false,true,true
2024-04-24T08:25:04.1613290Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:25:05.1613511Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:25:06.1611464Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:25:07.1612594Z,90,5,6.207,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:25:08.1612368Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:09.1612822Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:10.1611534Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:11.1612675Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:12.1612984Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:13.1612365Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:14.1612176Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:15.1610291Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:16.1611199Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:17.1611336Z,183.699,5,5,true,true,false,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:18.1611377Z,270.087,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:19.1612379Z,270,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:20.1612854Z,270,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:21.1612141Z,270,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:22.1613930Z,270,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:23.1613956Z,270,98.792,5,true,true,true,false,true,true,true,false,false,false,true,true,true,false,true,false,true
2024-04-24T08:25:24.1611086Z,270,100,5,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:25:25.1612182Z,270,100,5,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:25:26.1612820Z,270,100,5,true,true,true,false,true,true,false,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:25:27.1612774Z,270,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:25:28.1612130Z,270,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:25:29.1614884Z,270,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:25:30.1611673Z,270,6.207,5,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,false,true
2024-04-24T08:25:31.1615672Z,270,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:32.1611719Z,270,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:33.1611730Z,270,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:34.1612221Z,270,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:25:35.1611811Z,270,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
