Time,tavolaRotante._axisInterface.axisActualPosition,braccioSx._axisInterface.axisActualPosition,braccioDx._axisInterface.axisActualPosition,tavolaRotante._axisInterface.axisOn,tavolaRotante._axisInterface.axisReferenced,tavolaRotante._axisInterface.axisPos1,tavolaRotante._axisInterface.axisPos2,braccioSx._axisInterface.axisOn,braccioSx._axisInterface.axisReferenced,braccioSx._axisInterface.axisPos1,braccioSx._axisInterface.axisPos2,braccioSx._instGripper._gripperInterface.gripperOpened,braccioSx._instGripper._gripperInterface.gripperClosed,braccioDx._axisInterface.axisOn,braccioDx._axisInterface.axisReferenced,braccioDx._axisInterface.axisPos1,braccioDx._axisInterface.axisPos2,braccioDx._instGripper._gripperInterface.gripperOpened,braccioDx._instGripper._gripperInterface.gripperClosed,start
2024-05-08T16:52:44.3340500Z,89.999,100,4.9510000000000005,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:52:44.6340817Z,89.999,100,4.997,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:52:44.9341652Z,89.999,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:52:45.2341501Z,89.999,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:52:45.5342461Z,89.999,100,29.171,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:52:45.8341277Z,89.999,100,59.198,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:52:46.1340289Z,89.999,100,89.199,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:52:46.4340045Z,89.999,100,100.048,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:46.7340076Z,89.999,100,100.002,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:47.0340305Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:47.3340612Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:47.6340240Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:47.9340329Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:48.2340182Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:48.5340960Z,89.999,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:48.8340283Z,113.668,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:49.1340268Z,143.698,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:49.4340108Z,173.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:49.7340364Z,203.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:50.0340430Z,233.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:50.3341152Z,263.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:50.6341027Z,270.031,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:50.9340537Z,270.00100000000003,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:51.2340331Z,270,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:51.5341082Z,269.999,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:51.8340370Z,269.999,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:52.1340524Z,269.999,75.828,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:52.4340984Z,269.999,45.801,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:52.7340181Z,269.999,15.8,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:53.0340096Z,269.999,4.9510000000000005,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:53.3339776Z,269.999,4.997,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:53.6340314Z,269.999,5,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
